Case,Place,Date,Year,Summary,Fatalities,Injured,Total,Venue,Type of weapons,Weapons,latitude,longitude,Sources
Living Church of God shooting, Wisconsin,3/12/05,2005,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide.",7,4,11,Religious,One semiautomatic handgun,Yes,43.0605671,-88.1064787,"http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA38&lpg=PA38&dq=Abdelkrim+Belachheb+mental&source=bl&ots=D56pgdNnnl&sig=grAT08P9HLfPoHVgwlXt8RfPHz0&hl=en&; http://www.nytimes.com/1984/06/30/us/6-die-in-dallas-club-as-enraged-man-fires-wildly.html; http://news.google.com/newspapers?id=gKQyAAAAIBAJ&sjid=WO8FAAAAIBAJ&pg=1236,2915759&dq=abdelkrim+belachheb&hl=en; http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false"
Damageplan show shooting, Ohio,12/8/04,2004,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.",5,7,12,Other,One semiautomatic handgun,Yes,39.9611755,-82.9987942,"http://www.time.com/time/magazine/article/0,9171,93313,00.html; http://articles.cnn.com/2002-04-22/justice/ctv.mcdermott.trial_1_michael-mcdermott-jury-deliberates-fate-mental-illness?_s=PM:LAW; http://www.nytimes.com/2000/12/27/us/7-die-in-rampage-at-company-co-worker-of-victims-arrested.html; http://www.vpc.org/studies/wgun001226.htm"
Lockheed Martin shooting, Mississippi,7/8/03,2003,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,Workplace,"One semiautomatic handgun, two rifles, one derringer, one shotgun",Yes,32.3643098,-88.703656,http://www.deseretnews.com/article/660205647/Ex-relative-calls-Talovic-vicious-troubled.html?pg=all; http://www.cbsnews.com/stories/2007/02/15/national/main2480419.shtml; http://www.cbsnews.com/8301-201_162-2823327.html
Navistar shooting, Illinois,2/5/01,2001,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide.",5,4,9,Workplace,"Two rifles, one revolver, one shotgun",Yes,41.9005865,-87.8567276,http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid
Wakefield massacre, Massachusetts,12/26/00,2000,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,Workplace,"One semiautomatic handgun, one rifle (assault), one shotgun",Yes,42.5039395,-71.0723391,http://seattletimes.com/html/nationworld/2010232219_apusforthoodshooting.html; http://articles.latimes.com/2010/oct/21/nation/la-na-fort-hood-20101022; http://thelede.blogs.nytimes.com/2009/11/05/reports-of-mass-shooting-at-fort-hood/; http://www.usatoday.com/news/military/story/2012-08-14/fort-hood-rampage-trial/57050394/1
Columbine High School massacre, Colorado,4/20/99,1999,"Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide.",13,24,37,School,"One semiautomatic handgun (assault), one rifle (assault), two shotguns",No,39.613321,-105.0166498,http://www.nytimes.com/2015/11/28/us/colorado-planned-parenthood-shooting.html and http://www.cnn.com/2015/12/09/us/colorado-planned-parenthood-shooting/ and http://www.npr.org/sections/thetwo-way/2015/11/28/457674369/planned-parenthood-shooting-police-name-suspect-procession-for-fallen-officer and http://www.cbsnews.com/news/robert-lewis-dear-planned-parenthood-first-court-appearance/ and http://www.denverpost.com/news/ci_29729326/judge-wont-release-all-records-accused-planned-parenthood and http://www.csindy.com/IndyBlog/archives/2016/02/17/judge-resists-unsealing-dear-affidavits; http://www.nbcnews.com/news/us-news/who-robert-dear-planned-parenthood-shooting-suspect-seemed-strange-not-n470896
Atlanta day trading spree killings, Georgia,7/29/99,1999,"Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two day-trading firms. He started at the All-Tech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)",9,13,22,Workplace,"Three semiautomatic handguns, one revolver",Yes,33.7489954,-84.3879824,http://www.startribune.com/local/171774461.html?refer=y
Wedgwood Baptist Church shooting, Texas,9/15/99,1999,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",8,7,15,Religious,Two semiautomatic handguns,Yes,32.7554883,-97.3307658,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm
Xerox killings, Hawaii,11/2/99,1999,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,Workplace,One semiautomatic handgun,Yes,21.3069444,-157.8583333,http://www.jsonline.com/news/milwaukee/friend-of-page-feared-what-he-might-do-426edmg-165668826.html; http://usnews.nbcnews.com/_news/2012/09/10/13785426-officer-arriving-at-sikh-temple-shooting-time-to-use-deadly-force?lite; http://articles.latimes.com/2012/aug/08/nation/la-na-nn-sikh-shooting-guns-20120807; http://www.bbc.co.uk/news/world-us-canada-19183359
Hotel shooting, Florida,12/30/99,1999,"Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings.",5,3,8,Workplace,"One semiautomatic handgun, one revolver",Yes,27.950575,-82.4571776,http://www.miamiherald.com/2013/07/27/v-print/3526078/a-look-at-the-victims-in-the-hialeah.html  http://www.cbsnews.com/8301-201_162-57595796/pedro-vargas-idd-as-gunman-behind-deadly-rampage-in-hialeah-florida/    http://www.miamiherald.com/2013/07/28/3528362/little-about-pedro-vargas-life.html
Westside Middle School killings, Arkansas,3/24/98,1998,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",5,10,15,School,"Two semiautomatic handguns, two rifles, three revolvers, two derringers",No,35.8422967,-90.704279,https://www.nytimes.com/2018/02/14/us/parkland-school-shooting.html; https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html
Thurston High School shooting, Oregon,5/21/98,1998,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.   ",4,25,29,School,"Two semiautomatic handguns, one rifle",No,44.0462362,-123.0220289,http://www.nytimes.com/1999/09/20/us/fort-worth-remembers-those-killed-at-church.html?pagewanted=all&src=pm; http://www.nytimes.com/1999/09/18/us/death-in-a-church-the-overview-with-question-of-why-unanswered-fort-worth-mourns.html; http://www.vpc.org/studies/wgun990915.htm
Connecticut Lottery shooting, Connecticut,3/6/98,1998,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.",5,1,6,Workplace,One semiautomatic handgun,Yes,41.6972996,-72.7228293,http://www.motherjones.com/politics/2015/06/dylann-roofs-attorney; http://www.newsweek.com/report-nine-shot-charleston-south-carolina-church-shooting-344235; http://www.cnn.com/2015/06/19/us/charleston-church-shooting-suspect/; http://www.motherjones.com/politics/2015/06/9-people-dead-mass-shooting-south-carolina-church; http://www.nbcnews.com/storyline/charleston-church-shooting/fbi-says-dyann-roof-should-not-have-been-sold-gun-n390056 
R.E. Phelon Company shooting, South Carolina,9/15/97,1997,"Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later.",4,3,7,Workplace,One semiautomatic handgun,No,33.5604168,-81.7195533,http://www.nytimes.com/1998/03/07/nyregion/rampage-connecticut-overview-connecticut-lottery-worker-kills-4-bosses-then.html?pagewanted=all&src=pm; http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm
Caltrans maintenance yard shooting, California,12/18/97,1997,"Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.",5,2,7,Workplace,One rifle (assault),Yes,33.7879139,-117.8531007,http://abc6onyourside.com/news/local/report-of-shooting-in-kirkersville; http://www.cbsnews.com/news/64-guns-seized-from-home-of-killer-in-ohio-nursing-home-shooting/
Fort Lauderdale revenge shooting, Florida,2/9/96,1996,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,Workplace,"One semiautomatic handgun, one revolver",Yes,26.1224386,-80.1373174,http://www.nytimes.com/2013/09/18/us/state-law-stopped-gunman-from-buying-rifle-officials-say.html; http://edition.cnn.com/2013/09/17/us/navy-yard-shooting-military-contractors; http://www.fbi.gov/washingtondc/press-releases/2013/law-enforcement-shares-findings-of-the-investigation-into-the-washington-navy-yard-shootings/index.html
Walter Rossler Company massacre, Texas,4/3/95,1995,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.",6,0,6,Workplace,"One semiautomatic handgun, one revolver",Yes,27.8005828,-97.396381,"http://www.denverpost.com/news/ci_20218952/aurora-chuck-e-cheese-killers-appeal-cites-mental; http://abcnews.go.com/US/auroras-massacre-victims-20-year-wait-justice/story?id=16847013; http://www.5280.com/magazine/2008/12/politics-killing?page=0,6 "
Air Force base shooting, Washington,6/20/94,1994,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.",5,23,28,Military,One rifle (assault),Yes,47.6182629,-117.6438555,"http://articles.latimes.com/1988-02-18/news/mn-43514_1_mr-farley-richard-farley-sunnyvale-public-safety-department; http://news.google.com/newspapers?id=uqxAAAAAIBAJ&sjid=sDIHAAAAIBAJ&pg=2425,5898911&dq=richard+farley+shooting&hl=en; http://news.google.com/newspapers?id=FmYzAAAAIBAJ&sjid=WzIHAAAAIBAJ&pg=7028,576811&dq=richard+farley+shooting&hl=en"
101 California Street shootings, California,7/1/93,1993,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him.",9,6,15,Other,Three semiautomatic handguns (two assault),No,37.7749295,-122.4194155,http://www.baltimoresun.com/news/maryland/harford/aegis/ph-ag-edgewood-shooting-20171018-story.html; http://www.cnn.com/2017/10/18/us/maryland-harford-county-shooting/index.html
Chuck E. Cheese's killings, Colorado,12/14/93,1993,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row.",4,1,5,Workplace,One semiautomatic handgun,Unknown,39.7294319,-104.8319195,http://www.motherjones.com/mojo/2015/11/open-carry-mass-shooting-colorado-springs and http://www.denverpost.com/news/ci_29059452/colorado-springs-police-confronted-shot-gunman-minutes and http://www.cbsnews.com/news/shooter-in-colorado-springs-rampage-legally-purchased-guns/
Long Island Rail Road massacre, New York,12/7/93,1993,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.",6,19,25,Other,One semiautomatic handgun,Yes,40.7267682,-73.6342954,"http://news.google.com/newspapers?id=c4dIAAAAIBAJ&sjid=_XEDAAAAIBAJ&pg=5163,1527281&dq=jeffrey+weise+mental+ill&hl=en; http://www.cbsnews.com/stories/2005/03/24/national/main682915.shtml?source=search_story; http://www.usnews.com/usnews/news/articles/050404/4redlake.htm; http://www.foxnews.com/story/0,2933,151116,00.html"
Luigi's shooting, North Carolina,8/6/93,1993,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.",4,8,12,Other,"One rifle, two shotguns",Yes,35.0526641,-78.8783585,http://usatoday30.usatoday.com/news/nation/2003-07-08-miss-shooting-main_x.htm; http://www.nytimes.com/2003/07/09/us/man-kills-5-co-workers-at-plant-and-himself.html; http://www.nytimes.com/2003/07/16/us/national-briefing-south-mississippi-death-toll-rises-in-plant-shooting.html
Watkins Glen killings, New York,10/15/92,1992,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments.",5,0,5,Other,One semiautomatic handgun,Yes,42.3806287,-76.8732921,"http://www.cbsnews.com/2100-201_162-679761.html; http://www.foxnews.com/story/0,2933,150255,00.html; http://www.msnbc.msn.com/id/7167861/ns/us_news-crime_and_courts/t/relatives-struggle-answers-after-shooting/#.UN3Scko6JT4"
Lindhurst High School shooting, California,5/1/92,1992,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",4,10,14,School,"One rifle, one shotgun",Yes,39.0954484,-121.5521858,http://www.nytimes.com/2016/09/25/us/mall-shooting-washington-state.html
Luby's massacre, Texas,10/16/91,1991,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.",24,20,44,Other,Two semiautomatic handguns,Yes,31.1171194,-97.7277959,"http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en"
University of Iowa shooting, Iowa,11/1/91,1991,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",6,1,7,School,One revolver,Yes,41.6611277,-91.5301683,http://www.huffingtonpost.com/2011/11/03/eduardo-sencion-ihop-shooter_n_1073677.html; http://www.lasvegassun.com/news/2011/sep/06/report-seven-shot-inside-carson-city-ihop/; http://www.lasvegassun.com/news/2011/oct/23/nv-gun-laws-rampage-2nd-ld-writethru/
Royal Oak postal shootings, Michigan,11/14/91,1991,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.",5,5,10,Workplace,One rifle,Yes,42.4894801,-83.1446485,http://www.stltoday.com/news/local/crime-and-courts/charles-lee-cookie-thornton-behind-the-smile/article_be96f13c-78b9-11df-bfdc-0017a4a78c22.html; http://www.nytimes.com/2008/02/08/us/08missouri.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SL&p_theme=sl&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=11F1CADA291472F0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM
GMAC massacre, Florida,6/18/90,1990,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)",10,4,14,Other,"One rifle, one revolver",Yes,30.3321838,-81.655651,https://www.nyspnews.com/article_display.cfm?article_id=29584
Standard Gravure shooting, Kentucky,9/14/89,1989,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.",9,12,21,Workplace,"Three semiautomatic handguns (two assault), one rifle (assault), one revolver",Yes,38.2526647,-85.7584557,http://www.cbsnews.com/8301-504083_162-20012557-504083.html; http://www.msnbc.msn.com/id/38535909/ns/us_news-crime_and_courts/t/dead-shooting-conn-beer-distributor/#.UFGJAqRrND4; http://www.foxnews.com/us/2010/08/03/dead-wounded-conn-workplace-shooting/
Stockton schoolyard shooting, California,1/17/89,1989,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",6,29,35,School,"One semiautomatic handgun, one rifle (assault)",Yes,37.9577016,-121.2907796,http://www.nytimes.com/2016/02/26/us/shooting-at-plant-hesston-kansas.html; https://www.washingtonpost.com/news/morning-mix/wp/2016/02/26/alcoholic-violent-depressed-portrait-of-kansas-shooter-emerges/; https://www.washingtonpost.com/news/post-nation/wp/2016/02/26/kansas-gunman-served-protection-from-abuse-order-shortly-before-shootings-sheriff-says/; http://heavy.com/news/2016/02/cedric-ford-hesston-kansas-shooting-shooter-facebook-video-firing-rifle-gun-field-ak47-ak-47-long-gun-photos-watch-youtube/; http://fox4kc.com/2016/02/26/kansas-woman-charged-with-providing-guns-to-hesston-shooter/
ESL shooting, California,2/16/88,1988,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin.",7,4,11,Workplace,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",Yes,37.36883,-122.0363496,http://www.nytimes.com/2016/07/11/us/dallas-shooting-micah-johnson-police.html?_r=0; http://www.wsj.com/articles/dallas-shooter-purchased-guns-legally-official-says-1468269720
Shopping centers spree killings, Florida,4/23/87,1987,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009.",6,14,20,Other,"One rifle, one revolver, one shotgun",Yes,28.0344621,-80.5886646,http://usnews.nbcnews.com/_news/2012/05/30/11959312-six-killed-in-seattle-shootings-including-suspect?lite; http://www.cbsnews.com/8301-201_162-57445177/seattle-shooting-hero-hurled-stools-at-gunman-ian-stawicki-saved-three-lives/?pageNum=2&tag=contentMain;contentBody; http://content.usatoday.com/communities/ondeadline/post/2012/05/seattle-killer-had-concealed-carry-permit-owned-6-guns/1#.UFI9shhgspQ
United States Postal Service shooting, Oklahoma,8/20/86,1986,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.",15,6,21,Workplace,Three semiautomatic handguns,Yes,35.6528323,-97.4780954,http://archives.starbulletin.com/2000/06/02/news/story2.html; http://www.vpc.org/studies/wgun991102.htm
Dallas nightclub shooting, Texas,6/29/84,1984,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested.",6,1,7,Other,One semiautomatic handgun,No,32.8286951,-96.8716929,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html; http://www.vpc.org/studies/wgun931207.htm
San Ysidro McDonald's massacre, California,7/18/84,1984,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer.",22,19,41,Other,"One semiautomatic handgun, one rifle (assault), one shotgun",Yes,32.555556,-117.0470434,http://time.com/4411027/baton-rouge-shooter-gavin-long/ ; http://www.nytimes.com/2016/07/18/us/baton-rouge-shooting.html; http://www.kansascity.com/news/local/article90266242.html; http://www.nola.com/crime/index.ssf/2016/07/gavin_long_guns_baton_rouge_po.html; http://www.motherjones.com/politics/2016/07/copycat-mass-shooters-rising-baton-rouge-munich
Welding shop shooting, Florida,8/20/82,1982,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene.",8,3,11,Other,One shotgun,Yes,25.7616798,-80.1917902,http://blog.sfgate.com/eguillermo/2012/04/05/something-still-doesnt-compute-in-the-one-goh-nightmare/; http://www.mercurynews.com/top-stories/ci_20308252/police-respond-shooting-east-oakland; http://www.cbsnews.com/8301-504083_162-57408732-504083/gun-used-in-oikos-university-shooting-rampage-was-bought-legally-police-say/; http://berkeley.patch.com/articles/one-l-goh-showed-violent-tendencies-before-the-oikos-university-shooting-oikos-university-shooting