Beverage,Calories
Brewed Coffee,5
Caffe Latte,190
Caffe Mocha (Without Whipped Cream),260
Vanilla Latte (Or Other Flavoured Latte),250
Caffe Americano,15
Cappuccino,120
Caramel Macchiato,240
White Chocolate Mocha (Without Whipped Cream),400
Hot Chocolate (Without Whipped Cream),290
Caramel Apple Spice (Without Whipped Cream),280
Tazo Tea,0
Tazo Chai Tea Latte,240
Tazo Green Tea Latte,350
Tazo Full-Leaf Tea Latte,90
Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos),190
Iced Brewed Coffee (With Milk & Classic Syrup),120
Shaken Iced Tazo Tea (With Classic Syrup),80
Shaken Iced Tazo Tea Lemonade (With Classic Syrup),130
Banana Chocolate Smoothie,300
Orange Mango Banana Smoothie,270
Strawberry Banana Smoothie,290